LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
NGPEDKFL	PRES01F07_bin.3
KOGHNKAP	PRES01F07_bin.40
MFIJHMMP	PRES01F07_bin.41
NKMBIMIF	PRES01F07_bin.42
EDKDJKFL	PRES01F07_bin.43
NNPCOCDC	PRES01F07_bin.44
DJMOMMLE	PRES01F07_bin.45
KDEIPIIH	PRES01F07_bin.46
OECJDPAD	PRES01F07_bin.47
EBFGHJPH	PRES01F07_bin.48
PLALEEKL	PRES01F07_bin.49
CFAILNLM	PRES01F07_bin.4
ADGKPOJA	PRES01F07_bin.50
PHHAJPJE	PRES01F07_bin.51
BAKHPDGI	PRES01F07_bin.52
FDJGHEEM	PRES01F07_bin.53
EFCEAPMN	PRES01F07_bin.54
CHHEBOLB	PRES01F07_bin.55
KEEPPEJG	PRES01F07_bin.56
GEHPCOKI	PRES01F07_bin.57
EDJAKJMO	PRES01F07_bin.58
ANPCAMAJ	PRES01F07_bin.59
IJFOBIGN	PRES01F07_bin.5
LBPDAAID	PRES01F07_bin.60
GJOAGDHK	PRES01F07_bin.61
DDOKHDCK	PRES01F07_bin.62
HEJEIOBG	PRES01F07_bin.63
PMOLHLEL	PRES01F07_bin.64
GLGFCNAB	PRES01F07_bin.65
IFHPCPEG	PRES01F07_bin.66
MDCOIOCG	PRES01F07_bin.67
HEJJODFF	PRES01F07_bin.68
ALDJBJHK	PRES01F07_bin.69
BHLFCNML	PRES01F07_bin.6
EFGONFAN	PRES01F07_bin.70
FKCIKCJH	PRES01F07_bin.71
JBLEGJMC	PRES01F07_bin.72
JDJKGFLH	PRES01F07_bin.73
IANCLDPE	PRES01F07_bin.74
OCCAIGOM	PRES01F07_bin.75
MOFGGPDO	PRES01F07_bin.76
LODDGJNF	PRES01F07_bin.77
AKJCMLAH	PRES01F07_bin.78
MJOOPHHO	PRES01F07_bin.79
MLADEIKM	PRES01F07_bin.7
FOINFEDC	PRES01F07_bin.80
LKCGLFHP	PRES01F07_bin.81
CEEKLKJP	PRES01F07_bin.82
EHEHJHAF	PRES01F07_bin.83
KKBDAFHC	PRES01F07_bin.84
HFFLGMKH	PRES01F07_bin.85
JIHOACED	PRES01F07_bin.86
KPOKBNHL	PRES01F07_bin.87
BLGLFKCP	PRES01F07_bin.88
LOMFBOBM	PRES01F07_bin.89
ALOMLAHH	PRES01F07_bin.8
CHGDOCLF	PRES01F07_bin.90
BOMJAHEB	PRES01F07_bin.91
ELEGIJOH	PRES01F07_bin.92
HNGDLMBN	PRES01F07_bin.93
PFIJJAEG	PRES01F07_bin.94
FIMFPAEN	PRES01F07_bin.95
JMBBNOKJ	PRES01F07_bin.96
LHGGJMHO	PRES01F07_bin.97
EFOPIMAH	PRES01F07_bin.98
HPIKDNJP	PRES01F07_bin.99
CBGCINBG	PRES01F07_bin.9
IDGCCCEJ	PRES09F02_bin.100
MAODNJIL	PRES09F02_bin.101
FOEJIGNJ	PRES09F02_bin.102
ENGOCCMP	PRES09F02_bin.103
JCFOBMFB	PRES09F02_bin.104
GOAIFOEC	PRES09F02_bin.105
HIAHHGBK	PRES09F02_bin.106
JJOGPOCJ	PRES09F02_bin.107
KOLOCOJF	PRES09F02_bin.108
HKKOCNOA	PRES09F02_bin.109
CKHNPBCF	PRES09F02_bin.10
IAAMGCOL	PRES09F02_bin.110
KECAAJOH	PRES09F02_bin.111
JABMMKKM	PRES09F02_bin.112
FIDDMNKC	PRES09F02_bin.113
HNNNGOJM	PRES09F02_bin.114
CMBOLIDK	PRES09F02_bin.115
GBNBDKMH	PRES09F02_bin.116
DOEGJAAF	PRES09F02_bin.117
IOOPCBLO	PRES09F02_bin.118
GJCHOMLN	PRES09F02_bin.119
JLAHHAHF	PRES09F02_bin.11
BLOBLBHJ	PRES09F02_bin.120
MBGJFGPJ	PRES09F02_bin.121
MFAOBMPN	PRES09F02_bin.122
FOFNBOLN	PRES09F02_bin.123
KCDDFKFB	PRES09F02_bin.124
JHPCHPNA	PRES09F02_bin.125
EALDMHNB	PRES09F02_bin.126
PNDCKACO	PRES09F02_bin.127
AIODOJDE	PRES09F02_bin.128
HFELDEID	PRES09F02_bin.129
GPCGDGLI	PRES09F02_bin.12
DIOMJNOM	PRES09F02_bin.130
LNAMCCEN	PRES09F02_bin.131
EFLEHKLM	PRES09F02_bin.132
MGFLKCKA	PRES09F02_bin.133
MFJBADME	PRES09F02_bin.134
CEOJNFBA	PRES09F02_bin.135
HHKEIHOP	PRES09F02_bin.136
GJBBNIEE	PRES09F02_bin.137
IDKLFGBD	PRES09F02_bin.138
FOCPBKJD	PRES09F02_bin.139
MOHCJPMB	PRES09F02_bin.13
KAOOCFJJ	PRES09F02_bin.140
JOMAKNPJ	PRES09F02_bin.141
BAIJAOPC	PRES09F02_bin.142
JEIPFLJP	PRES09F02_bin.143
HJCACHMG	PRES09F02_bin.144
DDKCPCMC	PRES09F02_bin.145
GAKGINCI	PRES09F02_bin.146
FEHAIMDN	PRES09F02_bin.147
GJOCPLPE	PRES09F02_bin.148
GFHBCEFA	PRES09F02_bin.149
CADBJHOG	PRES09F02_bin.14
BPPLBKOO	PRES09F02_bin.150
HDMLELNH	PRES09F02_bin.151
CBNECKGO	PRES09F02_bin.152
ALGAJKKN	PRES09F02_bin.153
CMIDPCMJ	PRES09F02_bin.154
OBHMHOAE	PRES09F02_bin.155
BCDFJPLP	PRES09F02_bin.156
LFGONCDH	PRES09F02_bin.157
FMAPMKEG	PRES09F02_bin.158
OCGOKPGC	PRES09F02_bin.159
DGOPBEJP	PRES09F02_bin.15
AFHLCOID	PRES09F02_bin.160
DPLHCJIP	PRES09F02_bin.161
OAKNIEKK	PRES09F02_bin.162
AKKFLKEK	PRES09F02_bin.163
ICJKPPPO	PRES09F02_bin.164
AEJPJLEK	PRES09F02_bin.165
IFBJOHHK	PRES09F02_bin.166
CCHKPACM	PRES09F02_bin.167
JKLMDLDI	PRES09F02_bin.168
PJOHKPKB	PRES09F02_bin.169
BFAGLNFB	PRES09F02_bin.16
CBHFNPOH	PRES09F02_bin.170
IMBOFCPJ	PRES09F02_bin.171
EDCDGNNE	PRES09F02_bin.172
EAADBICC	PRES09F02_bin.173
CLEPKJNC	PRES09F02_bin.174
GGDAAEDB	PRES09F02_bin.175
NFBAMMCN	PRES09F02_bin.176
